total_days,start_date,end_date,overall_return,volatility,up_wave_count,down_wave_count,up_wave_avg_days,down_wave_avg_days,up_wave_avg_pct,down_wave_avg_pct,momentum,trend_state,consecutive_days_vs_ma,avg_volume,volume_trend,code
420,2024-08-29,2026-05-29,0.0829931972789116,0.030412542824589137,3,3,45.666666666666664,7.0,-0.09295817907184682,0.041812624075656224,-0.029623308545653964,mixed,1,22486464.86904762,2.744349959129655,688772
420,2024-08-15,2026-05-29,2.8368146214099217,0.03990956925309078,3,4,1.6666666666666667,3.5,-0.0344130418108616,0.03768297571125128,-0.08253157602282603,mixed,3,27587520.9,1.2415933705621671,688041
420,2024-08-29,2026-05-29,6.544825996773451,0.04477258266994261,1,1,1.0,15.0,-0.046902654867256734,0.02599814298978655,0.057881845032282365,above,33,23609863.326190475,2.6810971457379904,688525
420,2024-08-15,2026-05-29,6.57376,0.04594728453350818,1,2,1.0,12.5,-0.04012841091492777,0.05212970437857993,0.35007329914607904,above,35,19002324.661904763,6.796393782894272,688347
420,2024-08-29,2026-05-29,0.14634146341463428,0.019308434452494073,2,2,65.5,5.5,-0.049763033175355395,0.03492336020702695,-0.0023349607302059266,mixed,1,77461267.16428572,9.554729413310435,688538
26,2026-04-21,2026-05-29,1.5636007827788647,0.08840196103675062,1,1,1.0,1.0,-0.06736842105263163,0.058916478555304734,0.18533085208096445,above,7,54176040.57692308,-0.7215323166873673,688820
420,2024-08-29,2026-05-29,0.2756734006734005,0.03619369975831621,1,2,2.0,1.5,-0.030264817150063007,0.028805892850106075,-0.1804785723942139,mixed,3,13066886.36904762,9.236533020995969,688208
420,2024-08-29,2026-05-29,4.470855412566237,0.0461519730438334,0,1,0.0,16.0,0.0,0.04918032786885238,0.3331242736713951,above,20,11337279.476190476,27.669678709960724,688172
420,2024-08-29,2026-05-29,1.0954994511525797,0.031838525333681165,1,1,1.0,16.0,-0.029032258064516273,0.04983388704318949,0.012517237721438266,above,35,11099937.79047619,22.435503028783216,688432
420,2024-08-29,2026-05-29,1.0503703703703704,0.04047392020882931,2,2,1.5,7.0,-0.04042401898430628,0.040635658282717105,-0.03995560488346285,mixed,1,12596913.461904762,9.31504712024997,688512
420,2024-08-29,2026-05-29,2.728129205921938,0.031378927091585726,0,1,0.0,15.0,0.0,0.020775623268698112,-0.0816106625996718,below,6,16672213.385714285,11.468860828866664,688548
420,2024-08-29,2026-05-29,1.2473958333333335,0.03814186276025141,1,1,1.0,16.0,-0.046226074395088516,0.03256342294585382,-0.13741896792986258,below,12,13283236.152380953,4.1084094108503155,688385
420,2024-08-29,2026-05-29,0.9798657718120806,0.028980959804837017,4,4,32.75,2.75,-0.03738239406190543,0.03379217166973397,-0.11769104232092123,below,16,33657634.82380953,1.4077725900940752,688779
420,2024-08-29,2026-05-29,1.2859504132231405,0.03499324952597631,2,2,1.0,6.5,-0.04550344999288656,0.029645622124314642,-0.0650035493357671,mixed,1,12180643.492857143,3.169460733456332,688518
420,2024-08-29,2026-05-29,2.1196969696969696,0.03513896431964409,1,1,1.0,17.0,-0.027777777777777707,0.049624060150375945,0.08605638631748308,above,17,7131157.228571429,11.24514654641684,688079
